Genotype	CW	Fix	pop$	FID$
Z002E0066	23.8569475511372	1	NAMRIL	Z002
Z002E0067	13.0754101695471	1	NAMRIL	Z002
Z002E0068	20.7939309233713	1	NAMRIL	Z002
Z002E0069	13.1415481482389	1	NAMRIL	Z002
Z002E0070	22.4931064387731	1	NAMRIL	Z002
Z002E0071	20.6484417852964	1	NAMRIL	Z002
Z002E0072	11.7425023519402	1	NAMRIL	Z002
Z002E0073	15.1209543726902	1	NAMRIL	Z002
Z002E0074	19.6231148321005	1	NAMRIL	Z002
Z002E0075	20.3429100524695	1	NAMRIL	Z002
Z002E0076	22.2353594947993	1	NAMRIL	Z002
Z002E0077	13.9373545526546	1	NAMRIL	Z002
Z002E0078	17.1058492873559	1	NAMRIL	Z002
Z002E0079	13.2760737805113	1	NAMRIL	Z002
Z002E0080	25.9360737805176	1	NAMRIL	Z002
Z002E0081	17.88321663766	1	NAMRIL	Z002
Z002E0082	16.26750235194	1	NAMRIL	Z002
Z002E0083	18.8917880662228	1	NAMRIL	Z002
Z002E0084	22.1675023519401	1	NAMRIL	Z002
Z002E0085	19.6996452090841	1	NAMRIL	Z002
Z002E0086	22.3246452090806	1	NAMRIL	Z002
Z002E0087	16.6189309233667	1	NAMRIL	Z002
Z002E0088	16.6309543726893	1	NAMRIL	Z002
Z002E0089	17.0259543726888	1	NAMRIL	Z002
Z002E0090	13.7760737805141	1	NAMRIL	Z002
Z002E0091	18.9478293726919	1	NAMRIL	Z002
Z002E0092	15.9266402669409	1	NAMRIL	Z002
Z002E0093	18.6981148321026	1	NAMRIL	Z002
Z002E0094	16.4566862606731	1	NAMRIL	Z002
Z002E0095	17.987829372688	1	NAMRIL	Z002
Z002E0096	16.2084543726905	1	NAMRIL	Z002
Z002E0097	23.8950791999599	1	NAMRIL	Z002
Z002E0098	19.2000635698603	1	NAMRIL	Z002
Z002E0099	17.9619557737045	1	NAMRIL	Z002
Z002E0100	27.8136142177922	1	NAMRIL	Z002
Z002E0101	15.6565793726889	1	NAMRIL	Z002
Z002E0102	16.3966862606733	1	NAMRIL	Z002
Z002E0103	15.0218060789753	1	NAMRIL	Z002
Z002E0104	14.2810605584414	1	NAMRIL	Z002
Z002E0105	18.0658969031911	1	NAMRIL	Z002
Z002E0106	18.4326276577192	1	NAMRIL	Z002
Z002E0107	12.0189309233717	1	NAMRIL	Z002
Z002E0108	16.1790578040264	1	NAMRIL	Z002
Z002E0109	11.0417751186283	1	NAMRIL	Z002
Z002E0110	16.6136142177991	1	NAMRIL	Z002
Z002E0111	17.8986142177974	1	NAMRIL	Z002
Z002E0112	22.8394974097937	1	NAMRIL	Z002
Z002E0113	11.7272043726894	1	NAMRIL	Z002
Z002E0114	23.5932166376562	1	NAMRIL	Z002
Z002E0115	24.6657857053003	1	NAMRIL	Z002
Z002E0116	13.3298643321784	1	NAMRIL	Z002
Z002E0117	15.6088291178178	1	NAMRIL	Z002
Z002E0118	23.0819032112236	1	NAMRIL	Z002
Z002E0119	17.0944745607733	1	NAMRIL	Z002
Z002E0120	17.3911142177986	1	NAMRIL	Z002
Z002E0121	18.0490793726893	1	NAMRIL	Z002
Z002E0122	21.8203594947983	1	NAMRIL	Z002
Z002E0123	13.4221435911855	1	NAMRIL	Z002
Z002E0124	19.8203594947972	1	NAMRIL	Z002
Z002E0125	13.8215793726903	1	NAMRIL	Z002
Z002E0126	19.4714404837193	1	NAMRIL	Z002
Z002E0127	18.7826394123084	1	NAMRIL	Z002
Z002E0128	18.6772043726864	1	NAMRIL	Z002
Z002E0129	21.8722043726883	1	NAMRIL	Z002
Z002E0130	22.8095993271125	1	NAMRIL	Z002
Z002E0131	19.1497043726875	1	NAMRIL	Z002
Z002E0132	18.5903293726898	1	NAMRIL	Z002
Z002E0133	15.2475023519418	1	NAMRIL	Z002
Z002E0134	17.8878293726878	1	NAMRIL	Z002
Z002E0135	17.1334543726904	1	NAMRIL	Z002
Z002E0136	14.7005664527783	1	NAMRIL	Z002
Z002E0137	18.5569475511313	1	NAMRIL	Z002
Z002E0138	17.0697043726897	1	NAMRIL	Z002
Z002E0139	20.8447603540871	1	NAMRIL	Z002
Z002E0140	13.2630688383714	1	NAMRIL	Z002
Z002E0141	18.9046452090837	1	NAMRIL	Z002
Z002E0142	25.1667880662324	1	NAMRIL	Z002
Z002E0143	20.6753594947988	1	NAMRIL	Z002
Z002E0144	17.4425023519424	1	NAMRIL	Z002
Z002E0145	20.2152576892458	1	NAMRIL	Z002
Z002E0146	24.2486142177984	1	NAMRIL	Z002
