Genotype	AKW	Fix	pop$	FID$
Z003E0031	0.236094884750868	1	NAMRIL	Z003
Z003E0032	0.235175051694777	1	NAMRIL	Z003
Z003E0033	0.262584211624592	1	NAMRIL	Z003
Z003E0034	0.24093238494598	1	NAMRIL	Z003
Z003E0035	0.239151538741836	1	NAMRIL	Z003
Z003E0036	0.25765153874178	1	NAMRIL	Z003
Z003E0037	0.210304322920465	1	NAMRIL	Z003
Z003E0038	0.232526434737136	1	NAMRIL	Z003
Z003E0039	0.241092394390055	1	NAMRIL	Z003
Z003E0040	0.243723432034302	1	NAMRIL	Z003
Z003E0041	0.302993987915259	1	NAMRIL	Z003
Z003E0042	0.195473432034215	1	NAMRIL	Z003
Z003E0043	0.249066190434801	1	NAMRIL	Z003
Z003E0044	0.247182384945991	1	NAMRIL	Z003
Z003E0045	0.278439073365833	1	NAMRIL	Z003
Z003E0046	0.295651538741859	1	NAMRIL	Z003
Z003E0047	0.191622973195598	1	NAMRIL	Z003
Z003E0048	0.195473432034226	1	NAMRIL	Z003
Z003E0049	0.222586764781482	1	NAMRIL	Z003
Z003E0050	0.209470989587107	1	NAMRIL	Z003
Z003E0051	0.258594884750882	1	NAMRIL	Z003
Z003E0052	0.264948839048324	1	NAMRIL	Z003
Z003E0053	0.24075153874186	1	NAMRIL	Z003
Z003E0054	0.228925051694722	1	NAMRIL	Z003
Z003E0055	0.293119884945931	1	NAMRIL	Z003
Z003E0056	0.180651538741923	1	NAMRIL	Z003
Z003E0057	0.236425051694824	1	NAMRIL	Z003
Z003E0058	0.218250454396526	1	NAMRIL	Z003
Z003E0059	0.231622973195644	1	NAMRIL	Z003
Z003E0060	0.205451538741852	1	NAMRIL	Z003
Z003E0061	0.199201591331433	1	NAMRIL	Z003
Z003E0062	0.209800051694778	1	NAMRIL	Z003
Z003E0063	0.26010291727387	1	NAMRIL	Z003
Z003E0064	0.299554322920469	1	NAMRIL	Z003
Z003E0065	0.263998982134373	1	NAMRIL	Z003
Z003E0066	0.214448839048386	1	NAMRIL	Z003
Z003E0067	0.178412834470165	1	NAMRIL	Z003
Z003E0068	0.192651538741792	1	NAMRIL	Z003
Z003E0069	0.278134004606422	1	NAMRIL	Z003
Z003E0070	0.223398839308467	1	NAMRIL	Z003
Z003E0071	0.284027392586408	1	NAMRIL	Z003
Z003E0072	0.228902070579211	1	NAMRIL	Z003
Z003E0073	0.213978260835032	1	NAMRIL	Z003
Z003E0074	0.256328260835014	1	NAMRIL	Z003
Z003E0075	0.312219248908757	1	NAMRIL	Z003
Z003E0076	0.285707935046048	1	NAMRIL	Z003
Z003E0077	0.218819515497601	1	NAMRIL	Z003
Z003E0078	0.194831930508649	1	NAMRIL	Z003
Z003E0079	0.226137656253812	1	NAMRIL	Z003
Z003E0080	0.232804322920509	1	NAMRIL	Z003
Z003E0081	0.216762814129272	1	NAMRIL	Z003
Z003E0082	0.242586482329503	1	NAMRIL	Z003
Z003E0083	0.280149411392559	1	NAMRIL	Z003
Z003E0084	0.17489799151909	1	NAMRIL	Z003
Z003E0085	0.234651538741844	1	NAMRIL	Z003
Z003E0086	0.223211482329606	1	NAMRIL	Z003
