Genotype	KRN	Fix	pop$	FID$
Z002E0094	15.1450532843329	1	NAMRIL	Z002
Z002E0095	13.3213376893814	1	NAMRIL	Z002
Z002E0096	13.8838376893812	1	NAMRIL	Z002
Z002E0097	15.9612126667365	1	NAMRIL	Z002
Z002E0098	14.1873963396255	1	NAMRIL	Z002
Z002E0099	15.4493626044165	1	NAMRIL	Z002
Z002E0100	14.216035926043	1	NAMRIL	Z002
Z002E0101	15.3213376893817	1	NAMRIL	Z002
Z002E0102	13.6450532843311	1	NAMRIL	Z002
Z002E0103	13.5205451616294	1	NAMRIL	Z002
Z002E0104	14.0502205829982	1	NAMRIL	Z002
Z002E0105	14.6873963396248	1	NAMRIL	Z002
Z002E0106	14.9200804826701	1	NAMRIL	Z002
Z002E0107	13.764506297284	1	NAMRIL	Z002
Z002E0108	16.5316927908421	1	NAMRIL	Z002
Z002E0109	13.3936657105925	1	NAMRIL	Z002
Z002E0110	14.0493692593756	1	NAMRIL	Z002
Z002E0111	14.049369259376	1	NAMRIL	Z002
Z002E0112	13.6310461126131	1	NAMRIL	Z002
Z002E0113	15.6963376893817	1	NAMRIL	Z002
Z002E0114	16.0502205829988	1	NAMRIL	Z002
Z002E0115	14.977647924544	1	NAMRIL	Z002
Z002E0116	13.7226924820765	1	NAMRIL	Z002
Z002E0117	16.002196141474	1	NAMRIL	Z002
Z002E0118	16.2698855242281	1	NAMRIL	Z002
Z002E0119	14.2229425421571	1	NAMRIL	Z002
Z002E0120	14.2993692593757	1	NAMRIL	Z002
Z002E0121	18.0088376893849	1	NAMRIL	Z002
Z002E0122	15.6216491544254	1	NAMRIL	Z002
Z002E0123	13.3808227071419	1	NAMRIL	Z002
Z002E0124	12.4073634401402	1	NAMRIL	Z002
Z002E0125	17.6338376893813	1	NAMRIL	Z002
Z002E0126	14.3267719901456	1	NAMRIL	Z002
Z002E0127	14.6872118282944	1	NAMRIL	Z002
Z002E0128	15.0713376893825	1	NAMRIL	Z002
Z002E0129	17.5713376893799	1	NAMRIL	Z002
Z002E0130	15.0425902772769	1	NAMRIL	Z002
Z002E0131	14.383837689382	1	NAMRIL	Z002
Z002E0132	16.883837689384	1	NAMRIL	Z002
Z002E0133	14.550220582999	1	NAMRIL	Z002
Z002E0134	12.2588376893816	1	NAMRIL	Z002
Z002E0135	15.2588376893809	1	NAMRIL	Z002
Z002E0136	14.2216042445961	1	NAMRIL	Z002
Z002E0137	14.4660359260422	1	NAMRIL	Z002
Z002E0138	17.2164818557556	1	NAMRIL	Z002
Z002E0139	13.9127426670831	1	NAMRIL	Z002
Z002E0140	14.2024746840436	1	NAMRIL	Z002
Z002E0141	17.407363440142	1	NAMRIL	Z002
Z002E0142	16.2645062972856	1	NAMRIL	Z002
Z002E0143	19.4660359260432	1	NAMRIL	Z002
Z002E0144	13.3359348687117	1	NAMRIL	Z002
Z002E0145	12.8827025927088	1	NAMRIL	Z002
Z002E0146	17.2160359260406	1	NAMRIL	Z002
Z002E0147	15.6338376893842	1	NAMRIL	Z002
Z002E0148	11.47879201157	1	NAMRIL	Z002
Z002E0149	15.3838376893814	1	NAMRIL	Z002
Z002E0150	20.8905750384564	1	NAMRIL	Z002
Z002E0151	12.5969427849295	1	NAMRIL	Z002
Z002E0152	14.5416132491606	1	NAMRIL	Z002
Z002E0153	18.8539176965658	1	NAMRIL	Z002
Z002E0154	13.7588376893815	1	NAMRIL	Z002
Z002E0155	16.2160359260427	1	NAMRIL	Z002
Z002E0156	14.6601053221107	1	NAMRIL	Z002
Z002E0157	15.0088376893816	1	NAMRIL	Z002
Z002E0158	15.7024746840435	1	NAMRIL	Z002
Z002E0159	13.1786892190724	1	NAMRIL	Z002
Z002E0160	16.7879104271897	1	NAMRIL	Z002
Z002E0161	15.513809902604	1	NAMRIL	Z002
Z002E0162	14.8285673659015	1	NAMRIL	Z002
Z002E0163	14.1111111098955	1	NAMRIL	Z002
Z002E0164	16.7645062972889	1	NAMRIL	Z002
Z002E0165	15.1950068725834	1	NAMRIL	Z002
Z002E0166	13.9033325017497	1	NAMRIL	Z002
Z002E0167	13.966035926042	1	NAMRIL	Z002
Z002E0168	15.9229425421552	1	NAMRIL	Z002
Z002E0169	15.783027559035	1	NAMRIL	Z002
Z002E0170	17.4062193531178	1	NAMRIL	Z002
Z002E0171	16.2024746840417	1	NAMRIL	Z002
Z002E0172	14.7879104271885	1	NAMRIL	Z002
Z002E0173	14.8813678245158	1	NAMRIL	Z002
Z002E0174	16.2432403434063	1	NAMRIL	Z002
Z002E0175	13.7017719864954	1	NAMRIL	Z002
Z002E0176	11.8838376893818	1	NAMRIL	Z002
Z002E0177	15.555599809941	1	NAMRIL	Z002
Z002E0178	17.0713376893828	1	NAMRIL	Z002
Z002E0179	15.4099070100728	1	NAMRIL	Z002
Z002E0180	16.0088376893797	1	NAMRIL	Z002
Z002E0181	15.4787920115694	1	NAMRIL	Z002
Z002E0182	17.7211189940916	1	NAMRIL	Z002
Z002E0183	12.9073634401417	1	NAMRIL	Z002
Z002E0184	15.1338376893818	1	NAMRIL	Z002
Z002E0185	18.5229425421605	1	NAMRIL	Z002
Z002E0186	13.6216491544268	1	NAMRIL	Z002
Z002E0187	15.2745432772478	1	NAMRIL	Z002
Z002E0188	13.4660359260424	1	NAMRIL	Z002
Z002E0189	20.5480344911805	1	NAMRIL	Z002
Z002E0190	14.7160359260414	1	NAMRIL	Z002
Z002E0191	17.8838376893832	1	NAMRIL	Z002
Z002E0192	14.0596175411843	1	NAMRIL	Z002
Z002E0193	17.3753519738965	1	NAMRIL	Z002
Z002E0194	15.7588376893825	1	NAMRIL	Z002
Z002E0195	15.5138099026027	1	NAMRIL	Z002
