Genotype	KC	Fix	pop$	FID$
Z002E0153	413.460243240132	1	NAMRIL	Z002
Z002E0154	333.687545053885	1	NAMRIL	Z002
Z002E0155	280.782678507588	1	NAMRIL	Z002
Z002E0156	314.005209312389	1	NAMRIL	Z002
Z002E0157	309.011086583968	1	NAMRIL	Z002
Z002E0158	297.58244919027	1	NAMRIL	Z002
Z002E0159	309.08915704381	1	NAMRIL	Z002
Z002E0160	458.654040689603	1	NAMRIL	Z002
Z002E0161	397.879808606613	1	NAMRIL	Z002
Z002E0162	350.957132780492	1	NAMRIL	Z002
Z002E0163	246.229149198124	1	NAMRIL	Z002
Z002E0164	312.801590661538	1	NAMRIL	Z002
Z002E0165	298.750019391374	1	NAMRIL	Z002
Z002E0166	292.159872979484	1	NAMRIL	Z002
Z002E0167	226.302259059769	1	NAMRIL	Z002
Z002E0168	237.639012631334	1	NAMRIL	Z002
Z002E0169	262.18485515096	1	NAMRIL	Z002
Z002E0170	386.056352042976	1	NAMRIL	Z002
Z002E0171	360.338592179769	1	NAMRIL	Z002
Z002E0172	387.526681880086	1	NAMRIL	Z002
Z002E0173	350.659101120811	1	NAMRIL	Z002
Z002E0174	348.471198232858	1	NAMRIL	Z002
Z002E0175	289.025988405347	1	NAMRIL	Z002
Z002E0176	262.866240613301	1	NAMRIL	Z002
Z002E0177	494.102103646982	1	NAMRIL	Z002
Z002E0178	385.087349388245	1	NAMRIL	Z002
Z002E0179	288.795102003079	1	NAMRIL	Z002
Z002E0180	341.981959659644	1	NAMRIL	Z002
Z002E0181	327.427983409477	1	NAMRIL	Z002
Z002E0182	537.817157588335	1	NAMRIL	Z002
Z002E0183	264.717801115856	1	NAMRIL	Z002
Z002E0184	265.92360589162	1	NAMRIL	Z002
Z002E0185	301.521196206896	1	NAMRIL	Z002
Z002E0186	364.115791769102	1	NAMRIL	Z002
Z002E0187	283.287885567466	1	NAMRIL	Z002
Z002E0188	227.669244136584	1	NAMRIL	Z002
Z002E0189	419.367038532639	1	NAMRIL	Z002
Z002E0190	388.684335327069	1	NAMRIL	Z002
Z002E0191	468.333370551067	1	NAMRIL	Z002
Z002E0192	258.363727097706	1	NAMRIL	Z002
Z002E0193	217.026783909383	1	NAMRIL	Z002
Z002E0194	302.730878813471	1	NAMRIL	Z002
Z002E0195	248.707102457094	1	NAMRIL	Z002
Z002E0196	417.08756119762	1	NAMRIL	Z002
Z002E0197	282.720842424323	1	NAMRIL	Z002
Z002E0198	423.4885256767	1	NAMRIL	Z002
