Genotype	TKW	Fix	pop$	FID$
Z002E0065	74.1796419243532	1	NAMRIL	Z002
Z002E0066	76.2145678730844	1	NAMRIL	Z002
Z002E0067	34.6233178434979	1	NAMRIL	Z002
Z002E0068	66.5045386402715	1	NAMRIL	Z002
Z002E0069	61.8314788965175	1	NAMRIL	Z002
Z002E0070	61.1999240504859	1	NAMRIL	Z002
Z002E0071	57.9980217044954	1	NAMRIL	Z002
Z002E0072	43.0280917901085	1	NAMRIL	Z002
Z002E0073	58.8848491964918	1	NAMRIL	Z002
Z002E0074	63.3370614755004	1	NAMRIL	Z002
Z002E0075	62.8306855946652	1	NAMRIL	Z002
Z002E0076	109.394538640273	1	NAMRIL	Z002
Z002E0077	54.9339276386398	1	NAMRIL	Z002
Z002E0078	73.1217819679604	1	NAMRIL	Z002
Z002E0079	53.6952529260018	1	NAMRIL	Z002
Z002E0080	69.6166814974316	1	NAMRIL	Z002
Z002E0081	79.5628719731489	1	NAMRIL	Z002
Z002E0082	68.6409672117132	1	NAMRIL	Z002
Z002E0083	78.1373957831478	1	NAMRIL	Z002
Z002E0084	49.4590476737577	1	NAMRIL	Z002
Z002E0085	79.9438243545824	1	NAMRIL	Z002
Z002E0086	102.165252925993	1	NAMRIL	Z002
Z002E0087	68.6023957831391	1	NAMRIL	Z002
Z002E0088	68.4304741965002	1	NAMRIL	Z002
Z002E0089	83.9524832338584	1	NAMRIL	Z002
Z002E0090	72.8381100688618	1	NAMRIL	Z002
Z002E0091	67.7198491964958	1	NAMRIL	Z002
Z002E0092	69.8496419243579	1	NAMRIL	Z002
Z002E0093	64.9177757612121	1	NAMRIL	Z002
Z002E0094	74.2038365655848	1	NAMRIL	Z002
Z002E0095	61.2642241964991	1	NAMRIL	Z002
Z002E0096	61.4754741965039	1	NAMRIL	Z002
Z002E0097	63.9958118890868	1	NAMRIL	Z002
Z002E0098	61.5496318694805	1	NAMRIL	Z002
Z002E0099	85.5533972594565	1	NAMRIL	Z002
Z002E0100	80.2179012064108	1	NAMRIL	Z002
Z002E0101	53.6070614754988	1	NAMRIL	Z002
Z002E0102	68.2463471897762	1	NAMRIL	Z002
Z002E0103	45.2996698988998	1	NAMRIL	Z002
Z002E0104	73.2234117300693	1	NAMRIL	Z002
Z002E0105	64.7437985361386	1	NAMRIL	Z002
Z002E0106	77.5810587131255	1	NAMRIL	Z002
Z002E0107	60.3931100688516	1	NAMRIL	Z002
Z002E0108	99.3397523675625	1	NAMRIL	Z002
Z002E0109	39.3838550378284	1	NAMRIL	Z002
Z002E0110	89.4154012064012	1	NAMRIL	Z002
Z002E0111	52.4812345397497	1	NAMRIL	Z002
Z002E0112	53.2854134524334	1	NAMRIL	Z002
Z002E0113	45.5981975195702	1	NAMRIL	Z002
Z002E0114	79.7266814974278	1	NAMRIL	Z002
Z002E0115	88.0571163295591	1	NAMRIL	Z002
Z002E0116	55.4705781343771	1	NAMRIL	Z002
Z002E0117	70.5562345397427	1	NAMRIL	Z002
Z002E0118	100.250796261546	1	NAMRIL	Z002
Z002E0119	69.4968374994247	1	NAMRIL	Z002
Z002E0120	62.8037345397438	1	NAMRIL	Z002
Z002E0121	74.4910991964941	1	NAMRIL	Z002
Z002E0122	52.5796318694735	1	NAMRIL	Z002
Z002E0123	55.5041992606866	1	NAMRIL	Z002
Z002E0124	66.4052529260025	1	NAMRIL	Z002
Z002E0125	69.8810991964898	1	NAMRIL	Z002
Z002E0126	68.5145846358967	1	NAMRIL	Z002
Z002E0127	73.1055032322295	1	NAMRIL	Z002
Z002E0128	65.3879741965041	1	NAMRIL	Z002
Z002E0129	64.6673491964983	1	NAMRIL	Z002
Z002E0130	76.4375945886216	1	NAMRIL	Z002
Z002E0131	80.1548491965074	1	NAMRIL	Z002
Z002E0132	83.2785991965026	1	NAMRIL	Z002
Z002E0133	73.0595386402872	1	NAMRIL	Z002
Z002E0134	49.0335991964971	1	NAMRIL	Z002
Z002E0135	70.7504741964912	1	NAMRIL	Z002
Z002E0136	67.385915069697	1	NAMRIL	Z002
Z002E0137	72.2637345397494	1	NAMRIL	Z002
Z002E0138	77.4854741964856	1	NAMRIL	Z002
Z002E0139	70.0857962615176	1	NAMRIL	Z002
Z002E0140	63.2366681718229	1	NAMRIL	Z002
Z002E0141	84.6452529259962	1	NAMRIL	Z002
Z002E0142	125.958824354566	1	NAMRIL	Z002
Z002E0143	89.5838243545622	1	NAMRIL	Z002
Z002E0144	55.4675750214704	1	NAMRIL	Z002
Z002E0145	60.9292043326419	1	NAMRIL	Z002
Z002E0146	83.072901206412	1	NAMRIL	Z002
Z002E0147	111.081724196503	1	NAMRIL	Z002
Z002E0148	50.7246318694711	1	NAMRIL	Z002
Z002E0149	91.2860991964981	1	NAMRIL	Z002
Z002E0150	67.8999142950964	1	NAMRIL	Z002
Z002E0151	55.9800599244892	1	NAMRIL	Z002
Z002E0152	56.2444552490767	1	NAMRIL	Z002
Z002E0153	79.046298223088	1	NAMRIL	Z002
Z002E0154	90.8948491965106	1	NAMRIL	Z002
Z002E0155	66.2145678730785	1	NAMRIL	Z002
Z002E0156	78.874584635898	1	NAMRIL	Z002
Z002E0157	62.3677757612117	1	NAMRIL	Z002
Z002E0158	64.9632133529318	1	NAMRIL	Z002
Z002E0159	70.2924404905225	1	NAMRIL	Z002
Z002E0160	106.568490046915	1	NAMRIL	Z002
Z002E0161	85.6146855946494	1	NAMRIL	Z002
Z002E0162	79.5233438583947	1	NAMRIL	Z002
Z002E0163	76.9716814974266	1	NAMRIL	Z002
Z002E0164	72.1852529259908	1	NAMRIL	Z002
Z002E0165	62.739837499422	1	NAMRIL	Z002
Z002E0166	74.6934501278274	1	NAMRIL	Z002
Z002E0167	81.6470678730836	1	NAMRIL	Z002
Z002E0168	53.0488243545653	1	NAMRIL	Z002
Z002E0169	66.3159117300819	1	NAMRIL	Z002
Z002E0170	62.662116329549	1	NAMRIL	Z002
Z002E0171	89.5662467857736	1	NAMRIL	Z002
Z002E0172	89.0942043326324	1	NAMRIL	Z002
Z002E0173	77.1617418438959	1	NAMRIL	Z002
Z002E0174	81.3771992606889	1	NAMRIL	Z002
Z002E0175	84.7632823758822	1	NAMRIL	Z002
Z002E0176	59.2885991965022	1	NAMRIL	Z002
Z002E0177	129.478653404374	1	NAMRIL	Z002
Z002E0178	72.3485991965081	1	NAMRIL	Z002
Z002E0179	52.3231992606864	1	NAMRIL	Z002
Z002E0180	64.8735991965109	1	NAMRIL	Z002
Z002E0181	70.7538243545598	1	NAMRIL	Z002
Z002E0182	133.833044161751	1	NAMRIL	Z002
Z002E0183	69.6595386402809	1	NAMRIL	Z002
Z002E0184	58.1309672117114	1	NAMRIL	Z002
