p2,p1,Genotype,value,trait,pop,FID,p1t,p2t,HPH,pHPH,MPH,pMPH
Z012,Z008,Z008xZ012,62.4307115119898,TKW,Diallel,Z000,17.2159449471195,28.8217097664763,33.6090017455135,1.1661002077193,45.2147665648703,2.62633080575896
Z012,Z011,Z011xZ012,191.52777777778,TKW,Diallel,Z000,30.8921176570358,28.8217097664763,160.635660120744,5.19989150320223,160.635660120744,5.19989150320223
Z012,Z006,Z006xZ012,109.981666666669,TKW,Diallel,Z000,32.629713343418,28.8217097664763,77.351953323251,2.370598616946,77.351953323251,2.370598616946
Z013,Z002,Z002xZ013,149.097777777787,TKW,Diallel,Z000,41.51133438328,8.25804774122079,107.586443394507,2.59173657009303,107.586443394507,2.59173657009303
Z013,Z003,Z003xZ013,113.320311286492,TKW,Diallel,Z000,27.3968115781737,8.25804774122079,85.9234997083183,3.13625910311298,85.9234997083183,3.13625910311298
Z013,Z008,Z008xZ013,80.5362451459726,TKW,Diallel,Z000,17.2159449471195,8.25804774122079,63.3203001988531,3.67800317631984,63.3203001988531,3.67800317631984
Z013,Z006,Z006xZ013,161.231111111114,TKW,Diallel,Z000,32.629713343418,8.25804774122079,128.601397767696,3.94123590404257,128.601397767696,3.94123590404257
Z013,Z007,Z007xZ013,144.296666666671,TKW,Diallel,Z000,17.5391459962843,8.25804774122079,126.757520670387,7.22712044801044,126.757520670387,7.22712044801044
Z013,Z012,Z012xZ013,123.94306614387,TKW,Diallel,Z000,28.8217097664763,8.25804774122079,95.1213563773937,3.30033704273968,95.1213563773937,3.30033704273968
Z014,Z007,Z007xZ014,200.010000000003,TKW,Diallel,Z000,17.5391459962843,50.286274479004,149.723725520999,2.97742728154405,182.470854003719,10.4036339079665
Z014,Z008,Z008xZ014,198.484444444446,TKW,Diallel,Z000,17.2159449471195,50.286274479004,148.198169965442,2.94708986698386,181.268499497327,10.5291054341839
Z014,Z002,Z002xZ014,208.018390555721,TKW,Diallel,Z000,41.51133438328,50.286274479004,157.732116076717,3.13668327413228,166.507056172441,4.01112271253576
Z014,Z006,Z006xZ014,214.133464127361,TKW,Diallel,Z000,32.629713343418,50.286274479004,163.847189648357,3.25828849613363,181.503750783943,5.56252973704274
Z014,Z001,Z001xZ014,243.728948496815,TKW,Diallel,Z000,59.6185484487999,50.286274479004,184.110400048015,3.08813959477944,184.110400048015,3.08813959477944
Z014,Z005,Z005xZ014,205.353333333337,TKW,Diallel,Z000,13.9825122788476,50.286274479004,155.067058854333,3.08368556750169,191.370821054489,13.6864404077077
Z014,Z009,Z009xZ014,197.452728889548,TKW,Diallel,Z000,18.0771707685547,50.286274479004,147.166454410544,2.92657302485175,179.375558120993,9.92276725255136
Z015,Z002,Z002xZ015,212.347772026223,TKW,Diallel,Z000,41.51133438328,43.0433706146946,169.304401411528,3.93334441503355,170.836437642943,4.11541667308466
Z015,Z009,Z009xZ015,187.417765555722,TKW,Diallel,Z000,18.0771707685547,43.0433706146946,144.374394941027,3.35416099806411,169.340594787167,9.36764922759572
Z015,Z005,Z005xZ015,214.456666666669,TKW,Diallel,Z000,13.9825122788476,43.0433706146946,171.413296051974,3.98233905951258,200.474154387821,14.3374917461073
Z015,Z007,Z007xZ015,190.044444444447,TKW,Diallel,Z000,17.5391459962843,43.0433706146946,147.001073829752,3.41518500364764,172.505298448163,9.83544458120756
Z015,Z015,Z015xZ015,3.49750970808719,TKW,Diallel,Z000,43.0433706146946,43.0433706146946,-39.5458609066074,-0.91874452074408,-39.5458609066074,-0.91874452074408
Z015,Z012,Z012xZ015,221.40317315779,TKW,Diallel,Z000,28.8217097664763,43.0433706146946,178.359802543095,4.14372294724998,192.581463391314,6.68181953644239
Z015,Z003,Z003xZ015,216.852222222225,TKW,Diallel,Z000,27.3968115781737,43.0433706146946,173.80885160753,4.03799351968486,189.455410644051,6.91523574206662
Z015,Z013,Z013xZ015,211.886007320342,TKW,Diallel,Z000,8.25804774122079,43.0433706146946,168.842636705647,3.92261652130017,203.627959579121,24.6581233192312
Z015,Z006,Z006xZ015,199.74666666667,TKW,Diallel,Z000,32.629713343418,43.0433706146946,156.703296051975,3.64059073009674,167.116953323252,5.12161880076591
Z016,Z014,Z014xZ016,232.352750970809,TKW,Diallel,Z000,50.286274479004,54.8086477524283,177.544103218381,3.23934471108192,182.066476491805,3.6205998232743
Z016,Z008,Z008xZ016,60.3065612864913,TKW,Diallel,Z000,17.2159449471195,54.8086477524283,5.497913534063,0.100311059650608,43.0906163393718,2.50294807933744
Z016,Z013,Z013xZ016,136.43489269879,TKW,Diallel,Z000,8.25804774122079,54.8086477524283,81.6262449463617,1.48929499802785,128.176844957569,15.5214463483618
Z016,Z001,Z001xZ016,224.642222222222,TKW,Diallel,Z000,59.6185484487999,54.8086477524283,165.023673773422,2.76799214451093,165.023673773422,2.76799214451093
Z016,Z010,Z010xZ016,142.988888888891,TKW,Diallel,Z000,11.457793907388,54.8086477524283,88.1802411364627,1.60887459830745,131.531094981503,11.4796178081621
Z016,Z009,Z009xZ016,77.4955555555552,TKW,Diallel,Z000,18.0771707685547,54.8086477524283,22.6869078031269,0.413929347529319,59.4183847870005,3.28692943977489
Z016,Z002,Z002xZ016,215.318913061153,TKW,Diallel,Z000,41.51133438328,54.8086477524283,160.510265308725,2.92855729690235,173.807578677873,4.1869908847806
Z016,Z005,Z005xZ016,103.47600732034,TKW,Diallel,Z000,13.9825122788476,54.8086477524283,48.6673595679117,0.887950379431784,89.4934950414924,6.40038737365358
Z017,Z001,Z001xZ017,198.449999999999,TKW,Diallel,Z000,59.6185484487999,64.814498683934,133.635501316065,2.06181493384273,138.831451551199,2.32866205507212
Z017,Z014,Z014xZ017,275.162765555721,TKW,Diallel,Z000,50.286274479004,64.814498683934,210.348266871787,3.24538908952369,224.876491076717,4.47192585663926
