Genotype,KC,TKW,AKW,Note,RIL
B73 x Z016E0030,471.597017,115.277723,0.248421887,Bx,Z016E0030
B73 x Z016E0047,701.597017,183.897723,0.262432666,Bx,Z016E0047
B73 x Z016E0058,689.3333333,194.9616667,0.282774543,Bx,Z016E0058
B73 x Z016E0063,527.597017,133.815223,0.253230893,Bx,Z016E0063
B73 x Z016E0065,570.1666667,141.8116667,0.24923517,Bx,Z016E0065
B73 x Z016E0070,612.5,177.275,0.290669539,Bx,Z016E0070
B73 x Z016E0075,527.8333333,135.6716667,0.263752534,Bx,Z016E0075
B73 x Z016E0077,556.8333333,157.6133333,0.284870037,Bx,Z016E0077
B73 x Z016E0079,629.6666667,179.99,0.285889575,Bx,Z016E0079
B73 x Z016E0080,557.8333333,167.7183333,0.305196499,Bx,Z016E0080
B73 x Z016E0081,713,198.3733333,0.278863879,Bx,Z016E0081
B73 x Z016E0084,628.1666667,168.995,0.271792246,Bx,Z016E0084
B73 x Z016E0103,629.5,161.9683333,0.256660466,Bx,Z016E0103
B73 x Z016E0112,635.3388068,165.6300892,0.262825181,Bx,Z016E0112
B73 x Z016E0115,391.1666667,132.535,0.345995703,Bx,Z016E0115
B73 x Z016E0117,532.3388068,161.4140892,0.308163598,Bx,Z016E0117
B73 x Z016E0118,540.097017,171.465223,0.326767826,Bx,Z016E0118
B73 x Z016E0119,589,177.8716667,0.302230299,Bx,Z016E0119
B73 x Z016E0121,507.0273674,154.4237794,0.299866248,Bx,Z016E0121
B73 x Z016E0122,691.0273674,199.0371127,0.289682113,Bx,Z016E0122
B73 x Z016E0128,514.5388068,143.2240892,0.280371584,Bx,Z016E0128
B73 x Z016E0132,503.3607007,149.5804461,0.29753902,Bx,Z016E0132
B73 x Z016E0133,571,171.6716667,0.302578315,Bx,Z016E0133
B73 x Z016E0134,396.597017,136.017723,0.344135562,Bx,Z016E0134
B73 x Z016E0135,554.1388068,153.9660892,0.277067358,Bx,Z016E0135
B73 x Z016E0136,613.1940341,165.9504461,0.274023792,Bx,Z016E0136
B73 x Z016E0137,531.1666667,136.6816667,0.261151827,Bx,Z016E0137
B73 x Z016E0138,628.6666667,166.7066667,0.26688199,Bx,Z016E0138
B73 x Z016E0143,528,160.1766667,0.306938394,Bx,Z016E0143
B73 x Z016E0144,698.6666667,185.4266667,0.262164747,Bx,Z016E0144
B73 x Z016E0149,673.3333333,208.0916667,0.310104782,Bx,Z016E0149
B73 x Z016E0150,623,164.8616667,0.266236304,Bx,Z016E0150
B73 x Z016E0153,544.6666667,162.735,0.302312341,Bx,Z016E0153
B73 x Z016E0157,623,184.66,0.295931867,Bx,Z016E0157
B73 x Z016E0160,552.8333333,146.8183333,0.263542571,Bx,Z016E0160
B73 x Z016E0161,699,171.155,0.245727698,Bx,Z016E0161
B73 x Z016E0162,549.847017,152.227723,0.288526735,Bx,Z016E0162
B73 x Z016E0194,633,203.935,0.324201687,Bx,Z016E0194
B73 x Z016E0198,526.1666667,144.46,0.272145395,Bx,Z016E0198
B73 x Z016E0220,545.1666667,161.0216667,0.297949957,Bx,Z016E0220
B73 x Z016E0251,491.347017,163.750223,0.332167435,Bx,Z016E0251
