Phenotype Name,Evaluation Locality,Planting Date,Rep,Accession,Source,Plant Name,Plant ID,Phenotype Value
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xB57,ESB,02F1046,3733,mean=18.4
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xB64,ESB,02F1053,3734,mean=16
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xB68,ESB,02F1370,3735,mean=15.6
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xB73,ESB,02F1523,3736,mean=19
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xB73Htrhm,ESB,02F1506,3737,mean=16.8
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xB75,ESB,02F1432,3738,mean=17.6
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xB76,ESB,02F1448,3739,mean=15.6
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xB77,ESB,02F1660,3740,mean=16.4
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xB79,ESB,02F1221,3741,mean=18
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xB84,ESB,02F1068,3742,mean=16.8
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xB97,ESB,02F1212,3743,mean=15.5
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xC103,ESB,02F1295,3744,mean=15.6666666666667
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xC123,ESB,02F1372,3745,mean=16.8
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xCH701-30,ESB,02F1653,3748,mean=15.5
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xCI.7,ESB,02F1602,3750,mean=17.6
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xCI187-2,ESB,02F1430,3751,mean=14.8
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xCI21E,ESB,02F1514,3752,mean=14.8
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xCI28A,ESB,02F1042,3753,mean=14.8
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xCI31A,ESB,02F1510,3754,mean=16
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xCI3A,ESB,02F1289,3755,mean=17.6
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xCI44,ESB,02F1062,3756,mean=19.875
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xCI64,ESB,02F1195,3757,mean=19.2
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xCI66,ESB,02F1136,3758,mean=16
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xCI90C,ESB,02F1423,3759,mean=17.6
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xCI91B,ESB,02F1598,3760,mean=18
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xCML10,ESB,02F1268,3767,mean=15.6
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xCML103,ESB,02F1369,3768,mean=16
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xCML108,ESB,02F1509,3769,mean=18.8
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xCML11,ESB,02F1526,3770,mean=15.2
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xCML14,ESB,02F1445,3771,mean=17.2
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xCML154Q,ESB,02F1738,3772,mean=18.4
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xCML157Q,ESB,02F1054,3773,mean=18
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xCML158Q,ESB,02F1728,3774,mean=17.6
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xCML218,ESB,02F1735,3775,mean=16
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xCML220,ESB,02F1192,3776,mean=17.2
