Barcode,Cob_length (mm),Cob_Diameter (mm),Cob_Weight (g),Bag,I,Note,,
11-1705-21 OP,137.25,23.84,14.72,11,TS,,,
11-1705-22 OP,67.15,19.04,1.91,10,TS,,,
11-1705-23 OP,183.5,25.08,24.02,11,TS,,,
11-1706-23 OP,163.95,25.91,23.24,10,TS,,,
11-1708-22 OP,171.7,26.68,19.3,11,TS,,,
11-1708-23 OP,165.47,26.58,19.25,10,TS,,,
11-1709-22 OP,182.68,24.69,24.29,10,TS,,,
11-1709-23 OP,173.73,25.91,31.77,11,TS,,,
11-1710-21 OP,118.73,26.95,15.8,10,TS,,,
11-1710-22 OP,126.85,26.7,16.56,11,TS,,,
11-1712-21 OP,133.81,26.93,15.32,10,TS,,,
11-1712-22 OP,183.35,26.76,27.8,10,TS,,,
11-1712-23 OP,177.36,26.21,19.44,11,TS,,,
11-1713-21 OP,120.55,25.14,12.25,10,TS,,,
11-1713-22 OP,127.17,24.54,13.9,11,TS,,,
11-1714-21 OP,174.37,25.02,15.81,11,TS,,,
11-1714-22 OP,168.996,24.01,13.74,11,TS,,,
11-1714-23 OP,179.18,22.418,15.82,11,TS,,,
11-1715-21 OP,206.11,22.22,19.87,10,TS,,,
11-1715-22 OP,181.61,24.84,17.63,10,TS,,,
11-1715-23 OP,189.66,23.13,17.25,11,TS,,,
11-1716-21 OP,163.7,24.31,18.31,10,TS,,,
11-1716-22 OP,123.08,27.56,11.81,10,TS,,,
11-1716-23 OP,126.06,23.89,11.31,10,TS,,,
