Barcode,Cob_length (mm),Cob_Diameter (mm),Cob_Weight (g),Bag,I,Note,,
11-1568-22 OP,167.28,23.39,24.44,7,SR,,,
11-J3359-23 OP,154.93,25.05,20.05,7,SR,,,
11-J3395-22 OP,124.8,23.79,12.49,7,SR,,,
11-1564-22 OP,156.61,22.34,11.88,7,SR,,,
11-J3309-23 OP,99.79,18.9,4.59,7,SR,,,
11-J3392-22 OP,109.35,25.16,13.64,7,SR,,,
11-J3390-21 OP,130.51,25.75,20.72,7,SR,,,
11-1567-23 OP,211.49,22.47,25.59,7,SR,,,
11-1563-21 OP,111.69,27.26,13.53,7,SR,,,
11-J3337-21 OP,170.01,26.92,17.73,7,SR,,,
11-J3357-22 OP,142.6,21.61,14.3,7,SR,,,
11-J3356-23 OP,180.22,24.81,23.24,7,SR,,,
11-J3356-21 OP,162.96,25.43,26.66,7,SR,,,
11-J3391-22 OP,139.46,22.01,18.96,7,SR,,,
11-J3350-23 OP,185.6,22.52,22.81,7,SR,,,
11-J3309-22 OP,152.3,21.54,19.29,7,SR,,,
11-J3407-21 OP,168.03,25.51,31.93,7,SR,,,
11-J3403-21 OP,92.07,21.85,7.61,7,SR,,,
11-J3391-21 OP,146.1,24.08,18.65,7,SR,,,
11-J3406-22 OP,126.18,22.37,18.31,7,SR,,,
11-1553-22 OP,159.74,25.31,26.2,7,SR,,,
11-J3392-23 OP,90.69,26.21,10.78,7,SR,,,
11-J3404-23 OP,162.71,23.77,24.47,7,SR,,,
11-J3358-21 OP,133.05,24.22,19.51,7,SR,,,
11-J3398-22 OP,127.18,24.65,13.61,7,SR,,,
11-J3312-22 OP,167.45,23.9,17.24,7,SR,,,
11-J3405-23 OP,117.33,22.18,13.14,7,SR,,,
11-J3392-21 OP,110.22,25.83,14.55,7,SR,,,
11-J3398-23 OP,104.74,20.77,12.82,7,SR,,,
11-J3389-21 OP,137.58,20.27,12.88,7,SR,,,
11-J3338-23 OP,165.42,22.78,19.79,7,SR,,,
11-J3408-22 OP,137.39,26.71,18.33,7,SR,,,
11-J3313-23 OP,142.7,23.74,18.51,7,SR,,,
